,ridge,lasso,elasticnet,lars,OMP,Pool-AVG,MR
2002-01-01,-0.010946330919278123,-0.0018190906666635607,-0.0019700333657615286,0.009278624872961046,0.01231292776126796,0.00017376013800845012,-0.001840253360569477
2002-02-01,-0.01394980315083944,-0.010840218423478747,-0.010611535357111618,0.005416885993795884,0.013240966791793823,0.0005817638623657788,0.06658857609145344
2002-03-01,-0.013572262895209828,-0.0066149418593298565,-0.00801873414922612,-0.001330649632942077,-0.006431500411855809,-0.004859965286013131,-0.024709074199199675
2002-04-01,0.009103886234447706,0.006014938931930649,0.008311399872225218,0.000997849816918376,0.009131596015988666,0.013418485136985398,-0.0007918238639831543
2002-05-01,-0.0014105230420251608,-0.00034845828887526047,-0.0006049302649673832,0.0034982815605658266,0.012630894583119556,0.004602136057591738,0.022300032898783684
2002-06-01,-0.00048350583095893714,0.0009716842433071731,0.0007866789160525207,0.0015848067682125585,-0.006261941572081156,-0.002060810422187842,0.036773432046175
2002-07-01,-0.007306959073345193,-0.007141406664367777,-0.006548398278340547,0.005854840515960552,0.007329922375024231,0.009535908901281198,0.002655092626810074
2002-08-01,-0.011765447766608424,-0.012262621881666436,-0.01195764733355651,0.0011827928847369163,-0.005101055600465211,0.0032199255942583654,0.04003235660493374
2002-09-01,-0.03946827146497596,-0.03324946846179658,-0.03423599018257799,-0.0029553929519016892,-0.027113793804534103,-0.0011810755740652875,-0.04660144541412592
2002-10-01,-0.03930861579712332,-0.03042946558298859,-0.030913965366364336,-0.010191752425928211,-0.0302496956703067,-0.0040009530474576045,0.020490438549313695
2002-11-01,-0.01859669790528587,-0.013637547889832981,-0.01472418893267409,-0.005688628865978493,-0.011652007575592632,-0.002259832447544091,0.025078877806663513
2002-12-01,-0.009253307095638829,-0.010882113504281825,-0.01107619739591571,-0.0047584555204595825,-0.019253549784982525,0.0018117937354603583,0.020724644139409065
2003-01-01,-0.0019594702874404027,-0.0053376024072541205,-0.005144167713294951,-0.001756061427686631,-0.01210691547005115,-0.00011887073557756188,0.012414289638400078
2003-02-01,0.01029701866217216,0.008125835700963705,0.008268737912065732,0.006241879336882564,0.012684742365970026,0.011065890396807502,0.019762946106493474
2003-03-01,0.019710939951619273,0.014515802832140896,0.015297879152759989,0.02705008921377703,0.024048772774625256,-0.0013904068436027864,0.05944719947874546
2003-04-01,-0.0026860446722435285,0.0035175398074137852,0.0034658061322419913,0.0009152012455249419,0.004179269255231871,0.00019069417844113263,0.008672193437814713
2003-05-01,0.020342751249573066,0.012999215005690762,0.016889095393336245,0.003483089170242158,0.00831551855342971,0.028039281167981277,0.024461104162037374
2003-06-01,0.005361019365747266,0.004939449856778338,0.005224724598189039,0.004206901730657631,0.0036766033696864243,0.007358678287433135,0.01914451867341995
2003-07-01,-0.008402137071789698,-0.0031580554288446333,-0.0036958180420117045,-0.004415561863380298,-0.009469265081904715,0.004467010896984321,-0.016521383449435233
2003-08-01,0.001721695809145117,0.003083727492849785,0.0027360560696649433,0.0012357840481849133,0.008822374974348854,0.0032531143968425524,0.010254277382045984
2003-09-01,0.024157852497803653,0.019304558582043507,0.018164668190772577,0.015598794509606145,0.03903108434998193,-0.00370277024496816,0.0488894612994045
2003-10-01,0.022823457755683462,0.0181930848299107,0.017218111585164845,0.008040405939866841,0.0333075560921164,-0.0007380372803277375,0.04292737850919366
2003-11-01,0.018927213933698825,-0.0017434003545679314,-0.0021271386255438383,0.003037864048439123,0.019539806513412063,-0.003251600767753339,0.0621963111218065
2003-12-01,0.023587504409575716,0.006565480522210792,0.006410570846286977,0.0025660238428431197,0.020592339263278227,0.009325627952098646,0.03967246748507023
2004-01-01,0.03363483355218644,0.01594883329098803,0.015986429828476933,0.0022772177103056812,0.02053610456621362,0.021833403447321133,0.03907047901302576
2004-02-01,0.03374745944199878,0.01492017488811083,0.014943982716738214,0.007152944635445542,0.02024431911723486,0.01318975059908703,0.03667154903523624
2004-03-01,0.0625910165784345,0.03958789052784245,0.04268253322712538,0.009412474401322053,0.032334171348095964,0.039599020408281935,0.086826251889579
2004-04-01,0.027928665718532336,0.027413398119710504,0.0275996721938147,0.010056594865707341,0.016687250336853168,0.022866953278204927,0.012189310416579247
2004-05-01,0.029764455881457104,0.017815113664358208,0.015259816849206399,0.002699625315053674,0.011517157044815828,0.016772825867367808,0.03194409813731909
2004-06-01,0.010159093249310344,-0.004318922461762665,-0.0015920723779442665,0.0014135938675853932,0.014904233528579395,-0.0031322285898535253,0.011729617044329644
2004-07-01,0.011337792667037858,-0.0004536939495011352,0.0005900545230868132,-0.0024818583017135777,0.0028696514675505503,0.004397111136912295,0.016987325926311313
2004-08-01,0.011755335551849698,0.002140036305272318,0.0020982034198364467,-0.003601040089172388,0.001552452665563861,0.0054625963378272125,0.012807844951748849
2004-09-01,0.007640770754090516,-0.0043472034739178,-0.004275518852424008,-0.003199255960326862,-0.0019631277741992818,8.012182279862473e-05,0.02048994731158018
2004-10-01,0.0289926456355828,0.011703426664688321,0.011795697158140332,0.0016384600536575999,0.025682826956630267,0.019735170031885796,0.047285237908363344
